fiscal_year,hosp_num,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,kaiser_volume,kaiser_revenue,revenue_inpatient,revenue_outpatient,outpatient_revenue_share,inpatient_admissions,inpatient_admissions_medicare,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,5033,4779796.88,59432014.0,4689235.54,90561.1,58163274.42,1268739.58,3659116.09,82970.75,47611595.43,1170851.65,3363612.94,295503.07,45289125.53,2322469.9,,,,,56643594.8,2788419.2,0.046917797535853324,1334.0,1214.0,0.8185851966688501,0.7803225192650485,0.9786522533124993,0.04877950169543394,
2017,5034,8580469.01,59163359.63,8451496.69,128972.04,58180863.19,982495.91,32817.04,4117.47,62968.83,6782.669999999999,32817.04,0.0,62968.83,0.0,,,,,44497222.15,14666137.48,0.24789223552753137,692.0,0.0,0.0010822945303228665,0.0038829856064228076,0.9833934981694006,0.0,
2017,5050,72260215.23,392367050.6,69528993.23,2731222.0,379370757.02,12996293.58,24298680.0,992051.0,125432299.68,4352339.13,23276655.0,1022025.0,120532671.95,4899627.7299999995,,,,,234747088.57,157619962.03,0.40171559204314083,16891.0,5303.0,0.330632494357986,0.34947550469515115,0.9668772044948056,0.03906193016073067,
2017,8992,38018962.53,213195212.33,34292462.35,3726500.05,193156520.41,20038691.32,9059202.89,894017.06,57060153.27,4823005.99,8321845.27,737357.48,52314401.31,4745751.7700000005,,,,,187194770.4,26000441.93,0.12195603102828832,4026.0,1127.65,0.295408889893452,0.26417475646802013,0.9060077770931245,0.08317103088636692,
2018,1,51249304.0,334316871.0,41924883.0,9324421.0,285534841.0,48782030.0,22552595.0,4189459.0,140346343.0,20133816.0,19647017.0,2905578.0,123044649.0,17301694.0,,,,,202555811.0,131761060.0,0.3941202835677413,15315.0,7036.0,0.49152090339826515,0.5379286329791308,0.8540844503177945,0.12327855240232373,
2018,2,357832401.74,1478505420.51,325748758.0,32083643.1,1373506611.42,104998807.02,128762760.25,12617173.87,481989821.94,39235863.41,117343236.37,11419523.53,431835431.76,50154389.75,,,,,993533100.66,484972319.85,0.328015246425483,23601.0,7108.84,0.3509191859234625,0.3952824288281707,0.9289831422777055,0.1040569478171334,
2018,3,43496597.51,293163090.78,36271593.26,7225000.26,246837168.25,46325916.89,13445498.53,2120116.71,86506739.17,13496837.67,12511351.49,934144.94,79844297.24,6662441.93,,,,,228125358.45,65037732.33,0.221848296649344,12329.0,3848.88,0.3504607502318485,0.37068949339006785,0.8419790076344754,0.07701644974627009,
2018,4,84693020.0,515354742.0,75844592.0,8848428.0,469213480.0,46141262.0,27948496.0,3894657.0,151246303.0,19009453.0,26369934.0,1578562.0,143221336.0,8024967.0,,,,,366017926.0,149336816.0,0.2897747974927919,25817.0,6996.0,0.32234006363159046,0.3684968863699603,0.9104669885816244,0.05305892997596113,
2018,5,59801726.0,355845139.0,56298889.33,3502835.19,337614879.78000003,18230257.48,26046728.84,1468586.74,149199184.0,6983743.5,24567384.93,1479343.79,141037138.5,8162045.5,,,,,239870436.0,115974703.0,0.32591341088967357,16256.0,7375.0,0.44192123314358256,0.4626508471121912,0.9487691211091689,0.05470569798826782,
2018,6,12823805.26,105943545.91,12501168.790000001,322635.95,103004786.96,2938757.97,5966214.65,85110.82,47240841.33,819194.86,5397881.28,568333.03,42766248.45,4474592.62,,,,,54712915.52,51230630.39,0.4835653738975368,4391.0,2149.0,0.4586276300765042,0.4772525473596137,0.9722610856116095,0.0947187326479395,
2018,8,120337552.81,539029428.92,112929783.61,7407768.93,511482698.42,27546729.15,45005289.02,2989095.9899999998,179231452.48,10295017.39,40356710.01,4648578.74,158914828.29,20316623.03,,,,,227540351.97,311489076.95,0.5778702613215384,13333.0,4391.0,0.35041547452857436,0.39852453074225813,0.9488956835711315,0.11335411697490476,
2018,9,512163618.09,2409900106.67,387647008.81,124516608.92999999,1899793542.99,510106563.68,126626752.28,44164878.08,569164849.63,174623984.27,120929508.53,5697243.44,540735740.82,28429108.81,,,,,1449222916.29,960677190.38,0.39863776416337177,43978.0,10352.0,0.2995930014238373,0.32665479005943887,0.7883287517735059,0.04994881329808237,
2018,10,5102049.5200000005,51060002.46,5029141.06,72907.83,50269339.47,790661.98,2623740.93,25109.97,24623382.95,267121.74,2433647.14,190093.4,22998421.830000002,1624960.6199999999,,,,,24798044.419999998,26261958.04,0.5143352286473823,1996.0,1072.17,0.4898290530492224,0.5217075637166559,0.9845150224851751,0.06599258206314011,
2018,11,68900155.14,438695940.77,68061502.29,838652.63,433263911.7,5432029.07,31676060.04,396378.48,193450172.53,2229875.7,28179825.66,3496234.1,171416925.94,22033246.59,,,,,252414497.23,186281443.54,0.42462540960155326,15059.0,6862.0,0.44649500525201485,0.46540348029687895,0.9876177813260235,0.11389623644084945,
2018,12,156570375.4,783533479.53,148788756.16,7781618.12,753057947.33,30475531.34,72547474.97,2384627.5,342406787.33,8138690.8,65086869.25,7460605.48,305022505.38,37384281.95,,,,,409942845.95,373590633.58,0.4768023873135544,17107.0,7731.0,0.4546884984668421,0.4875870787708318,0.961105003173214,0.10918090217052359,
2018,13,7820635.51,108299202.37,7800067.54,20567.84,107819761.56,479440.77999999997,2211957.09,2179.84,30089324.57,146016.53,2023471.01,188485.76,27222134.92,2867189.6,,,,,61803723.95,46495478.42,0.4293242923539733,3388.0,920.0,0.2790705909069903,0.2835817867802719,0.9955729977736861,0.0952892642481805,
2018,15,91004734.98,535571846.0,89833583.73,1171149.26,529495601.6,6076239.94,41759795.25,467141.75,233040339.33,2291689.6,35169355.63,6590438.53,196208756.3,36831580.35,,,,,301120170.92,234451675.08,0.4377595215862038,21502.0,10095.98,0.4401176112243649,0.4648572784929906,0.9886546605364316,0.15804808925309763,
2018,16,55081365.21,277074479.46999997,50380314.81,4701050.4,253521683.36,23552796.12,23030732.5,2992026.4,101743156.67,11522017.6,21460980.0,1569752.5,94670032.11,7073124.56,,,,,164885731.8,112188747.67,0.40490465915373897,10069.0,2792.0,0.4013193480004037,0.4571375265687824,0.9149947113315786,0.06951941330994285,
2018,17,12969516.5,57719022.91,9302776.0,3666740.5,41584386.88,16134636.03,5137779.5,2036774.5,21702048.04,8511371.91,4729639.0,408140.5,19775035.62,1927012.42,,,,,22573455.27,35145567.64,0.6089078759147,2097.0,838.0,0.521879716601944,0.5522845546318648,0.7204624192069506,0.0887940353117014,
2018,18,31086895.0,182928947.81,30112787.18,974106.56,177568810.9,5360132.48,14784619.35,489648.58999999997,87364631.59,2587370.89,13810942.61,973676.12,82227700.78,5136928.97,,,,,87892266.31,95036681.5,0.5195278420270054,6997.0,3731.95,0.49200437366897976,0.49097478960099367,0.9706982575794,0.05879872525654863,
2018,19,99356287.0,450336518.0,75918113.0,23438174.0,358056322.0,92280196.0,41992615.0,15582817.0,179729539.0,57950119.0,40137037.0,1855578.0,171176891.0,8552648.0,,,,,254809388.0,195527130.0,0.4341800457763454,17223.0,7093.0,0.501958848250695,0.553130384049456,0.795086136008184,0.04758621230314289,
